                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4391,                 1.8141,                 1.1725,                0.40516,                0.92857,                0.43595,                0.28733,                 1.2512,                 3.0016,                 1.1686,             0.00065152,             0.00065152,             0.00065152
                      2,                 1.3271,                0.98325,                 1.1548,                0.49142,                0.46429,                0.34791,                0.23331,                 1.4461,                 2.4144,                  1.435,               0.001266,               0.001266,               0.001266
                      3,                 1.3006,                0.87615,                 1.1546,                0.42928,                0.96429,                0.47216,                0.31554,                 1.2606,                 2.7635,                  1.223,              0.0018276,              0.0018276,              0.0018276
                      4,                 1.3842,                0.84827,                 1.2116,                0.40796,                0.92857,                0.51078,                0.36471,                 1.1644,                 3.1063,                 1.1622,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.3062,                0.82361,                 1.1897,                0.18531,                0.67857,                0.15901,                0.09771,                 1.4412,                 2.7923,                 1.4597,              0.0017624,              0.0017624,              0.0017624
                      6,                 1.2887,                0.76164,                 1.2028,                0.46547,                0.85714,                0.54686,                0.37114,                 1.2212,                 1.7341,                 1.1922,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.2393,                0.69325,                 1.1442,                0.47855,                0.85714,                0.58342,                0.39146,                 1.1875,                 1.8003,                 1.1974,               0.001604,               0.001604,               0.001604
                      8,                 1.2873,                0.71787,                 1.1606,                0.40634,                0.92892,                0.50587,                0.31197,                 1.2976,                 1.8631,                 1.2516,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.2213,                0.66863,                 1.1196,                0.44059,                0.84401,                0.46227,                0.29045,                 1.2103,                 1.6781,                  1.151,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.2652,                0.68138,                 1.1518,                0.43029,                0.96429,                0.55412,                0.37411,                 1.2558,                 1.6061,                 1.1977,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.2097,                0.63643,                 1.1278,                0.47684,                0.85714,                0.58575,                0.41282,                 1.1574,                  1.675,                 1.1516,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.1961,                0.64569,                 1.1207,                0.42634,                0.92857,                 0.5025,                0.34164,                 1.1805,                 1.8004,                 1.1975,               0.001208,               0.001208,               0.001208
                     13,                 1.2018,                 0.6014,                 1.1003,                 0.3973,                0.89286,                0.45519,                0.28745,                 1.1629,                 1.7196,                 1.1592,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.1905,                0.61326,                 1.0973,                0.44514,                0.89286,                0.51884,                0.32694,                 1.1683,                 1.4703,                  1.178,              0.0010496,              0.0010496,              0.0010496
                     15,                 1.1782,                 0.6084,                 1.0899,                0.42628,                      1,                0.51615,                0.36295,                 1.1244,                 1.4832,                 1.1219,              0.0009704,              0.0009704,              0.0009704
                     16,                 1.1385,                0.58449,                 1.1102,                0.43361,                0.92857,                0.50926,                 0.3464,                 1.2059,                 1.7046,                 1.2137,              0.0008912,              0.0008912,              0.0008912
